registered_name,elapsed,zwid,name,team,subteam
Adam C.,130.246,70177,~ Cycopath ~ (Team Vegan) ,"('Team Vegan Antelopes',)",
Peter West,130.461,456595,Peter West (R3R Dev),"('R3R Dev Black Eyed Peas',)",
Zach Harner,130.511,800272,Zach Harner (Nopinz R3R),"('NOPINZ R3R',)",
Alex TenElshof,130.585,485822,Alex TenElshof (Finesse) ,"('Finesse Rockets',)",
Chris Smart,130.637,1157845,CHRIS SMART (Nopinz R3R),"('NOPINZ R3R',)",
Oliver Milk,130.679,50486,Oliver Milk,"('BRT',)",
Zach Harner,130.863,800272,Zach Harner (Nopinz R3R),"('NOPINZ R3R',)",
Oliver Milk,133.247,50486,Oliver Milk,"('BRT',)",
Erik Haugen,133.787,885598,Erik Haugen (R3R Nopinz),"('NOPINZ R3R',)",
Hywel Davies,134.215,1119043,Hywel Davies (BRT),"('BRT',)",
Maximiliaan Meester,134.956,1550522,Maximiliaan Meester,"('Canyon Coalition',)",
