registered_name,gender,time,zwid,team,zp_name,points
Ines Pfeilmeier,2,18.716,1604473,,I KP (Vegan Bees),20
Ilona,2,19.209,605301,,Ilona Arzhanova (RAVE),15
Cheryl Muldoon,2,19.385,113057,,Cheryl Muldoon,10
Morgan Bennett,2,19.416,1665071,,Morgan Bennett (Vegan CocoNuts),8
Nadezda Polakova,2,20.125,189794,,Nada 78 &#127793; (Vegan Bees),6
Val Cummings,2,20.412,2990367,,Val Cummings &#9419; (Vegan Wasabi) ,5
Allison Gates,2,20.451,1375378,,Allison Gates &#9419; (Vegan Wasabi),4
Ruth Breeze,2,20.583,1406512,,Ruth Breeze,3
Chantale Bouchard,2,20.621,224992,,Chalou (Vegan CocoNuts),2
Sarah Nicotero Axness,2,20.671,730172,,Sarah Nicotero [WTRL] (DraftingDinos1),1
