registered_name,gender,time,zwid,team,zp_name,points
Patrick Harvey,1,4104.4880000000002837623469531536102294921875,88086,,Patch  Harvey [ BRT ],20
Jamie Watson,1,4105.4510000000000218278728425502777099609375,448811,,Jamie Watson (BRT Visma)   ,15
Warren Honey,1,4105.615999999999985448084771633148193359375,1059788,,Warren Honey \u26a1\ufe0f\U0001f9a1 \U0001f9f9(BRT Badgers),10
David hill,1,4105.9690000000000509317032992839813232421875,964610,,david  hill TFC ,8
Philip Sudworth,1,4106.667999999999665305949747562408447265625,314508,,Philip Sudworth (TFC),6
Jason Feltus,1,4108.8360000000002401066012680530548095703125,91269,,Jason Feltus Race 3R ,5
Craig Christie ,1,4245.8350000000000363797880709171295166015625,130703,,Craig  Christie \u26a1\ufe0fBRT ,4
Cheryl Muldoon,2,4245.9440000000004147295840084552764892578125,113057,,Cheryl Muldoon[Team Vegan],3
Craig Gritzen,1,4273.596999999999752617441117763519287109375,527678,,C raig [Vegan Crocodiles]\u270a\U0001f3fc,2
Liam Chell,1,4274.216000000000349245965480804443359375,2677607,,Liam Chell (TFC),1
