registered_name,gender,time,zwid,team,zp_name,points
Jimbo V,1,4602.9769999999998617568053305149078369140625,3297493,,Jimbo imbo (TFC),20
Cefn O'Ryan,1,4657.527000000000043655745685100555419921875,740252,,Cefn O\u2019Ryan (ART Neon,15
Nathan Tully,1,4697.25100000000020372681319713592529296875,2757731,,Nathan Tully (SDW Youth),10
Ladean Unser,2,4702.8429999999998472048901021480560302734375,86000,,Ladean Unser(DD2),8
Andrew Hayton,1,4832.8810000000003128661774098873138427734375,509608,,Andrew Hayton (ART Fusion),6
Jason Watts,1,4853.4979999999995925463736057281494140625,983355,,Jason Watts \u24cb [Team Vegan] CocoNuts,5
Fiona Thomson,2,4855.16200000000026193447411060333251953125,533788,,Fiona Thomson (CMA),4
Mark Kassels,1,4958.591000000000349245965480804443359375,1554576,,Mark Kassels(TT1D) 9115,3
Tim Coppens,1,4989.0219999999999345163814723491668701171875,2139446,,Tim Coppens\U0001f331 [Team Vegan],2
Christopher Price,1,4998.08799999999973806552588939666748046875,189331,,Christopher Price (TT1 Hypers),1
