registered_name,gender,time,zwid,team,zp_name,points
Oliver Milk,1,20.243,50486,,Oliver Milk,12
Nick Hird,1,20.675,54593,,Nick Hird (CRYO RDT Men),10
Hywel Davies,1,20.967,1119043,,Hywel Davies (BRT),8
Olivier Symoens,1,21.177,1515010,,Olivier Symoens,7
Leon O'Regan,1,21.211,397219,,Leon O&#039;Regan (TFC),6
Robert McEwan,1,21.763,619770,,Robert McEwan (TFC Typhoon),5
Neil Turner,1,22.047,1360468,,Neil Turner (R3R ACDC),4
Colin Saunders,1,22.648,798491,,Colin Saunders (OTR RUSH),3
Duncan Johnson,1,22.653,2124922,,Duncan Johnson (OTR),2
Pete Brookes,1,22.655,1012404,,Pete Brookes (ART Nuclear),1
