registered_name,elapsed,zwid,name,team,subteam
Antti Vale,27.393,195687,Antti Valve (FZR),"('FZR',)",
Adam C.,28.353,70177,~ Cycopath ~ (Team Vegan) ,"('Team Vegan Antelopes',)",
Hywel Davies,29.159,1119043,Hywel Davies (BRT),"('BRT',)",
Hywel Davies,29.173,1119043,Hywel Davies (BRT),"('BRT',)",
Tim Elskens,29.196,861277,Tim Elskens (SPSD),"('Sportsolid',)",
Hans-Georg Becker,29.679,1765,H-G Becker (VZT) &#128062;,"('Team Vegan Alpacas',)",
Nick Hird,29.903,54593,Nick Hird (CRYO RDT Men),"('CRYO-GEN',)",
Antti Vale,31.046,195687,Antti Valve (FZR),"('FZR',)",
Olivier Symoens,31.126,1515010,Olivier Symoens,"('Sportsolid',)",
Alex TenElshof,31.44,485822,Alex TenElshof (Finesse) ,"('Finesse Rockets',)",
Robert McEwan,32.054,619770,Robert McEwan (TFC Typhoon),"('TFC',)",
