registered_name,elapsed,zwid,name,team,subteam
Oliver Milk,20.586,50486,Oliver Milk,"('BRT',)",
Robert McEwan,20.823,619770,Robert McEwan (TFC Typhoon),"('TFC',)",
Nick Hird,21.073,54593,Nick Hird (CRYO RDT Men),"('CRYO-GEN',)",
Olivier Symoens,21.102,1515010,Olivier Symoens,"('Sportsolid',)",
Hywel Davies,21.336,1119043,Hywel Davies (BRT),"('BRT',)",
Steven Brierley,21.377,43160,Steven Brierley (Nopinz R3R),"('NOPINZ R3R',)",
Leon O'Regan,21.65,397219,Leon O&#039;Regan (TFC Typhoon),"('TFC',)",
Nick Hird,21.87,54593,Nick Hird (CRYO RDT Men),"('CRYO-GEN',)",
Hywel Davies,21.931,1119043,Hywel Davies (BRT),"('BRT',)",
Robert McEwan,21.952,619770,Robert McEwan (TFC Typhoon),"('TFC',)",
Scott Gleason,22.058,429529,Scott Gleason (Nopinz R3R),"('NOPINZ R3R',)",
Scott Gleason,22.179,429529,Scott Gleason (Nopinz R3R),"('NOPINZ R3R',)",
Leon O'Regan,22.316,397219,Leon O&#039;Regan (TFC Typhoon),"('TFC',)",
Alex rockwell,22.474,960543,Alex  Rockwell (R3R DEV ABBA),"('LEQP',)",
Pete Brookes,22.489,1012404,Pete Brookes (ART Nuclear),"('ART Nuclear',)",
Steven Brierley,22.514,43160,Steven Brierley (Nopinz R3R),"('NOPINZ R3R',)",
