registered_name,elapsed,zwid,name,team,subteam
Cefn O'Ryan,18.202,740252,Cefn O&rsquo;Ryan (ART),"('ART Fusion',)",
Cefn O'Ryan,18.601,740252,Cefn O&rsquo;Ryan (ART),"('ART Fusion',)",
Jimbo V,18.653,3297493,Jimbo Viny (TFC),"('TFC',)",
Cefn O'Ryan,18.944,740252,Cefn O&rsquo;Ryan (ART),"('ART Fusion',)",
Ryan Biegen,19.112,2952708,Ryan Biegen TT1D (TT1 Gluconauts),"('Team Type 1',)",
Ryan Biegen,19.401,2952708,Ryan Biegen TT1D (TT1 Gluconauts),"('Team Type 1',)",
Jimbo V,19.685,3297493,Jimbo Viny (TFC),"('TFC',)",
Ollie Fussell,19.974,1976644,Ollie Fussell (SDW YOUTH),"('SDW Youth',)",
Ollie Fussell,20.107,1976644,Ollie Fussell (SDW YOUTH),"('SDW Youth',)",
Jimbo V,20.437,3297493,Jimbo Viny (TFC),"('TFC',)",
David Nielsen,20.837,2773311,. Ya Boyee! [Team Vegan],"('Team Vegan Dolphins',)",
Ollie Fussell,20.908,1976644,Ollie Fussell (SDW YOUTH),"('SDW Youth',)",
Jason Watts,20.977,983355,Jason Watts &#9419; (Vegan CocoNuts),"('Team Vegan Dolphins',)",
Linny O'Rourke,21.036,478016,Linny O&#039;Rourke [ART Zwifterions],"('ART Fusion',)",
David Nielsen,21.071,2773311,. Ya Boyee! [Team Vegan],"('Team Vegan Dolphins',)",
Jimbo V,21.093,3297493,Jimbo Viny (TFC),"('TFC',)",
Tim Coppens,21.174,2139446,Tim Coppens&#127793; [Team Vegan],"('Green Machine',)",
David Nielsen,21.206,2773311,. Ya Boyee! [Team Vegan],"('Team Vegan Dolphins',)",
Cefn O'Ryan,21.335,740252,Cefn O&rsquo;Ryan (ART),"('ART Fusion',)",
David Nielsen,21.371,2773311,. Ya Boyee! [Team Vegan],"('Team Vegan Dolphins',)",
Ollie Fussell,21.508,1976644,Ollie Fussell (SDW YOUTH),"('SDW Youth',)",
Christopher Price,21.573,189331,Christopher Price (TT1 Hypers),"('Team Type 1',)",
Kent Smith,21.597,919918,Kent Smith (TT1),"('Team Type 1',)",
Ollie Fussell,21.609,1976644,Ollie Fussell (SDW YOUTH),"('SDW Youth',)",
Ollie Fussell,21.724,1976644,Ollie Fussell (SDW YOUTH),"('SDW Youth',)",
Christopher Price,21.772,189331,Christopher Price (TT1 Hypers),"('Team Type 1',)",
Gary Laverick,21.931,2566486,Gary Laverick,"('Team Vegan Dolphins',)",
Jenny Flanagan,21.931,2048174,Jenny Flanagan&#127793;(Vegan Dolphins),"('Team Vegan Fireflies',)",
Jimbo V,22.004,3297493,Jimbo Viny (TFC),"('TFC',)",
David Nielsen,22.017,2773311,. Ya Boyee! [Team Vegan],"('Team Vegan Dolphins',)",
