registered_name,gender,time,zwid,team,zp_name,points
Ollie Fussell,1,1686.864,1976644,,Ollie Fussell (SDW YOUTH),20
Henry Bottoms,1,1796.957,3199370,,Henry Bottoms (SDW YOUTH),15
Jimbo V,1,1878.092,3297493,,Jimbo Viny (TFC),10
Ladean Unser,2,1942.165,86000,,Ladean Unser [WTRL] (DraftingDinos2),20
Dorothy Gibson,2,1944.457,143477,,dottie g 2156 [WTRL](DraftingDinosUK1),15
Naomi Bright,2,2025.612,2885796,,Naomi Bright (Vegan Fireflies) ,10
Andrew Hayton,1,2026.379,509608,,Andrew Hayton (ART Fusion),4
Mary Swindles,2,2082.674,1140029,,Mary Swindles (ART Fusion),8
Amy Morris,2,2102.432,2733583,,Amy Morris23 [WTRL] (DraftingDinos1),6
Dominic Shotton,1,2113.912,1586007,,Dominic Shotton (ART Fusion),1
