registered_name,gender,time,zwid,team,zp_name,points
Hywel Davies,1,4388.302999999999883584678173065185546875,1119043,,Hywel  Davies,20
Zach Harner,1,4389.9499999999998181010596454143524169921875,800272,,Zach Harner,15
Antti Vale,1,4440.19800000000032014213502407073974609375,195687,,Antti Valve [FZR],10
Nick Hird,1,4469.53700000000026193447411060333251953125,54593,,Nick Hird [CRYO RDT],8
Robert McEwan,1,4477.9859999999998763087205588817596435546875,619770,,Robert McEwan (TFC Typhoon),6
Wells Willett,1,4485.30400000000008731149137020111083984375,1927805,,Wells Willett [Team Vegan],5
Joel Chidley,1,4486.2529999999997016857378184795379638671875,2366199,,Joel Chidley (R3R Dev),4
Noah Balch,1,4486.8580000000001746229827404022216796875,1270113,,Noah Balch [OTR Blur],3
Oliver Milk,1,4486.936999999999898136593401432037353515625,50486,,Oliver Milk [BRT],2
Tim Elskens,1,4487.0219999999999345163814723491668701171875,861277,,Tim Elskens [SPSD],1
