registered_name,gender,time,zwid,team,zp_name,points
john hughes,1,4800.49899999999979627318680286407470703125,1354923,,John Hughes [Electricspirit.co]\xa0,20
Evan Flater,1,4800.9759999999996580299921333789825439453125,1063791,,E Flater (OTR),15
James Eastwood,1,4801.257999999999810825102031230926513671875,353326,,James Eastwood [Socks4Watts] ,10
Alan Hugill,1,4801.3360000000002401066012680530548095703125,285500,,Alan Hugill,8
Neil Hodgson,1,4801.4420000000000072759576141834259033203125,7520,,Neil Hodgson (OTR),6
Ross Hetherington,1,4801.5659999999998035491444170475006103515625,129517,,Ross Hetherington Race3R \U0001f40c,5
Derek Mcintire,1,4801.6639999999997598933987319469451904296875,955953,,Derek McIntire[Team Vegan] \u24cb,4
Jane Geddes,2,4802.1629999999995561665855348110198974609375,1150516,,Jane Geddes (Vegan Badgers),3
Daniel unt,1,4829.408999999999650754034519195556640625,182368,,Daniel Hunt | LEQP,2
Daniel Bolton,1,4845.1300000000001091393642127513885498046875,558697,,Daniel Bolton (LEQP Mistral),1
