registered_name,gender,time,zwid,team,zp_name,points
Patrick Harvey,1,427.353,88086,,Patch Harvey (BRT Badgers),20
Jamie Watson,1,439.22,448811,,Jamie Watson BRT (Visma),15
David hill,1,442.813,964610,,david hill (TFC Raptor),10
Warren Honey,1,444.164,1059788,,Warren Honey&#129441; (BRT Badgers),8
Chantale Bouchard,2,445.192,224992,,Chalou (Vegan CocoNuts),20
Jason Feltus,1,445.757,91269,,Jason Feltus&#128057; Race3R ,5
Evelien Bunnik,2,445.938,1421324,,Evelien Bunnik &#127793; &#128007; (Vegan Wasabi),15
Daniel Ongley,1,457.75,2791237,,Dan Ongley (ART-Neons),3
Robert Moseley,1,468.787,2863452,,Rob Moseley (ART Carbon),2
Bruno Riollet,1,471.346,1534082,,Bruno Riollet&#9889; (Foudre Chartreuse),1
