registered_name,gender,time,zwid,team,zp_name,points
Ladean Unser,2,667.838,86000,,Ladean Unser [WTRL] (DraftingDinos2),20
Amy Morris,2,679.74,2733583,,Amy Morris23 [WTRL] (DraftingDinos2),15
Dorothy Gibson,2,705.418,143477,,dottie g 2156 [WTRL](DDUK),10
Hilda van der Veen,2,716.913,1058200,,Dalih (Vegan Dolphins),8
Fiona Thomson,2,722.476,533788,,Fiona Thomson (CMA),6
Linny O'Rourke,2,787.736,478016,,Linny O&#039;Rourke (ART Neon),5
Naomi Bright,2,801.909,2885796,,Naomi Bright (Vegan Fireflies) ,4
Jen Collins,2,820.708,2547684,,Jen Collins (Vegan Fireflies),3
Ellen Van Eeckhout,2,852.787,2836546,,Ellen Van Eeckhout [Team Vegan],2
Niene Niene ,2,1058.84,1464527,,Niene Niene  (KC-M1),1
