registered_name,elapsed,zwid,name,team,subteam
John Bragg,22.196,2646918,John Bragg (Vegan Spinach),"('Team Vegan Spinach',)",
Tim Mennell,23.17,2610238,Tim Mennell (TFC),"('TFC',)",
David hill,23.28,964610,david hill (Tfc Lancaster),"('TFC',)",
Warren Honey,23.409,1059788,Warren Honey&#129441; (BRT Badgers),"('BRT',)",
Warren Honey,23.63,1059788,Warren Honey&#129441; (BRT Badgers),"('BRT',)",
Marko Niederheide,24.023,601425,Marko Niederheide (Vegan Spinach),"('Team Vegan Spinach',)",
Nadezda Polakova,24.5,189794,Nada 78 &#127793; (Team Vegan),"('Team Vegan Coconuts',)",
Tim Mennell,24.865,2610238,Tim Mennell (TFC),"('TFC',)",
Rudi peters,25.054,2682294,Rudi Peters (OTR Force),"('On the Rivet',)",
Philip Sudworth,25.359,314508,Philip Sudworth (TFC Kiiroi Maserati),"('TFC',)",
Joe Winning,25.48,435308,Joe Winning (ART neutrons),"('ART Neutrons',)",
David hill,25.719,964610,david hill (Tfc Lancaster),"('TFC',)",
Patrick Harvey,25.941,88086,Patch Harvey (BRT Cosmos),"('BRT',)",
Cheryl Muldoon,25.96,113057,Cheryl Muldoon,"('Team Vegan Spinach',)",
Philip Sudworth,26.125,314508,Philip Sudworth (TFC Kiiroi Maserati),"('TFC',)",
Arni Sumarlidason,26.129,1897973,Sumarlidason Arni [Vegan Crocodiles],"('Team Vegan Coconuts',)",
