registered_name,elapsed,zwid,name,team,subteam
John Bragg,22.003,2646918,John Bragg (Vegan Spinach),"('Team Vegan Spinach',)",
David hill,22.096,964610,david hill (Tfc Lancaster),"('TFC',)",
David hill,22.382,964610,david hill (Tfc Lancaster),"('TFC',)",
Warren Honey,22.667,1059788,Warren Honey&#129441; (BRT Badgers),"('BRT',)",
Tim Mennell,23.045,2610238,Tim Mennell (TFC),"('TFC',)",
Jamie Watson,23.095,448811,Jamie Watson (BRT Visma),"('BRT',)",
Warren Honey,23.346,1059788,Warren Honey&#129441; (BRT Badgers),"('BRT',)",
Dean Marriott,23.97,410330,Dean Marriott (Vegan Crocodiles),"('Team Vegan Spinach',)",
Tim Mennell,24,2610238,Tim Mennell (TFC),"('TFC',)",
Jamie Watson,24.331,448811,Jamie Watson (BRT Visma),"('BRT',)",
Dean Marriott,24.341,410330,Dean Marriott (Vegan Crocodiles),"('Team Vegan Spinach',)",
Nadezda Polakova,24.835,189794,Nada 78 &#127793; (Team Vegan),"('Team Vegan Coconuts',)",
Cheryl Muldoon,24.995,113057,Cheryl Muldoon,"('Team Vegan Spinach',)",
Marko Niederheide,25.236,601425,Marko Niederheide (Vegan Spinach),"('Team Vegan Spinach',)",
Dario Finatti,25.484,844179,Dario Finatti (ITA),"('Team ITALY',)",
Philip Sudworth,25.519,314508,Philip Sudworth (TFC Kiiroi Maserati),"('TFC',)",
