Position,Gap,Team,#Riders,#towards Ave,Overall Time
1,,NOPINZ R3R,4,3,01:24:54.280
2,00:00:04.545,Team Vegan Alpacas,5,3,01:24:58.825
3,00:01:39.437,On the Rivet,5,3,01:26:33.717
4,00:01:57.675,Race3R,5,3,01:26:51.955
5,00:02:04.887,Team Vegan Antelopes,6,4,01:26:59.167
6,00:02:07.208,TFC,3,3,01:27:01.488
7,00:03:00.848,R3R Dev Red Hot Chilli Peppers,6,4,01:27:55.128
8,00:04:40.974,R3R Dev Black Eyed Peas,3,3,01:29:35.254
9,00:05:22.053,ART Nuclear,4,3,01:30:16.333
10,00:10:48.945,Green machine,4,3,01:35:43.225
